Time,F2#1,F2#0,F2#2,,
19:46:52:773,0,0,0,,
19:46:52:774,1.11661851406097,-0.644680023193359,0,,
19:46:52:776,0,-1.6117000579834,0,,
19:46:52:778,0.372206181287766,-0.967020034790039,0,,
19:46:52:782,0.372206181287766,-0.322339981794357,0,,
19:46:52:784,0.18610306084156,-0.644680023193359,0,,
19:46:52:786,0.558309257030487,-0.32234001159668,0,,
19:46:52:788,1.11661851406097,-0.644680023193359,0,,
19:46:52:789,1.11661851406097,-2.25638008117676,0,,
19:46:52:791,1.2096700668335,-1.77286994457245,0,,
19:46:52:793,1.30272161960602,-1.61169993877411,0,,
19:46:52:796,0.279154628515244,-2.09521007537842,0,,
19:46:52:798,-0.837463915348053,-1.12819004058838,0,,
19:46:52:800,-0.651360809803009,-1.45053005218506,0,,
19:46:52:802,-1.2096700668335,-1.45052993297577,0,,
19:46:52:804,-1.58187627792358,-1.45053005218506,0,,
19:46:52:806,-1.2096700668335,-1.45052993297577,0,,
19:46:52:808,-1.39577317237854,-1.77287006378174,0,,
19:46:52:810,-1.48882472515106,-0.96701991558075,0,,
19:46:52:812,-1.30272161960602,-0.967020034790039,0,,
19:46:52:814,-1.76797938346863,-0.16117000579834,0,,
19:46:52:816,-1.76797938346863,-1.12819004058838,0,,
19:46:52:818,-2.14018559455872,-0.48351001739502,0,,
19:46:52:820,-1.95408248901367,-0.16116988658905,0,,
19:46:52:822,-1.67492783069611,0,0,,
19:46:52:823,-2.0471339225769,0,0,,
19:46:52:825,-2.5123918056488,-0.16117000579834,0,,
19:46:52:827,-2.60544323921204,0.32234001159668,0,,
19:46:52:829,-2.69849491119385,0.48351001739502,0,,
19:46:52:832,-2.60544323921204,0.644680142402649,0,,
19:46:52:834,-2.5123918056488,0.805850148200989,0,,
19:46:52:836,-2.23323702812195,1.6117000579834,0,,
19:46:52:838,-1.48882472515106,1.28935992717743,0,,
19:46:52:840,-1.39577317237854,1.45052993297577,0,,
19:46:52:842,-1.48882472515106,2.25638008117676,0,,
19:46:52:844,-1.11661851406097,2.57872009277344,0,,
19:46:52:846,-1.02356696128845,2.4175500869751,0,,
19:46:52:847,-1.30272161960602,2.57872009277344,0,,
