Time,F2#1,F2#2,F2#0,,
19:23:54:418,-3.38456988334656,-0.16117000579834,3.5457398891449,,
19:24:04:956,0,0,0,,
19:24:04:971,1.45053005218506,-0.32234001159668,-1.12819004058838,,
19:24:04:971,1.6117000579834,-0.16117000579834,-1.45053005218506,,
19:24:04:971,1.77286994457245,-0.16117000579834,-1.61169993877411,,
19:24:04:971,1.93403995037079,-0.32234001159668,-1.61169993877411,,
19:24:04:971,1.93403995037079,0,-1.93403995037079,,
19:24:04:971,1.93403995037079,-0.32234001159668,-1.61169993877411,,
19:24:04:971,0.805850028991699,0,-0.805850028991699,,
19:24:04:987,1.12819004058838,0.644680023193359,-1.77287006378174,,
19:24:04:987,0.32234001159668,0.644680023193359,-0.967020034790039,,
19:24:04:987,0.16117000579834,0.805850028991699,-0.967020034790039,,
19:24:04:987,-0.16117000579834,1.45053005218506,-1.12819004058838,,
19:24:04:987,-0.16117000579834,1.77286994457245,-1.61169993877411,,
19:24:04:987,-0.16117000579834,1.93403995037079,-1.77286994457245,,
19:24:04:987,-0.32234001159668,2.09521007537842,-1.77287006378174,,
19:24:04:987,0.483509987592697,1.28936004638672,-1.77287006378174,,
19:24:05:003,-0.16117000579834,1.6117000579834,-1.45053005218506,,
19:24:05:003,-0.32234001159668,1.45053005218506,-1.12819004058838,,
19:24:05:003,-0.967019975185394,0.805850028991699,0.161169946193695,,
19:24:05:003,-1.12819004058838,1.12819004058838,0,,
19:24:05:003,-0.967019975185394,0.967019975185394,0,,
19:24:05:003,-1.12819004058838,1.77286994457245,-0.64467990398407,,
19:24:05:003,-0.805850028991699,0.483509987592697,0.322340041399002,,
19:24:05:003,-0.805850028991699,0.644680023193359,0.48351001739502,,
19:24:05:018,-0.644680023193359,0.32234001159668,0.32234001159668,,
19:24:05:018,-0.483509987592697,0.16117000579834,0.322339981794357,,
19:24:05:018,-0.32234001159668,0.32234001159668,0,,
19:24:05:018,-0.967019975185394,0.805850028991699,0.161169946193695,,
19:24:05:018,-1.45053005218506,1.45053005218506,0,,
19:24:05:018,-2.4175500869751,1.93403995037079,0.483510136604309,,
19:24:05:018,-2.09521007537842,2.4175500869751,-0.32234001159668,,
